sem_event,sem_length,annotated_max_overlap,max_purity,epoch,run,tag,is_train
0,0.33333333333333304,eat_a_granola_bar,1.0,1,1.2.3_kinect,dec_17_uncertainty,True
1,345.66666666666663,bicep_curls,0.3614652844744454,1,1.2.3_kinect,dec_17_uncertainty,True
2,0.3333333333333286,clean_a_surface,1.0,1,1.2.3_kinect,dec_17_uncertainty,True
3,229.9999999999999,do_stair_steps,0.6064630434782613,1,1.2.3_kinect,dec_17_uncertainty,True
2,623.3333333333334,shave_face,0.3443951871657754,1,2.4.1_kinect,dec_17_uncertainty,False
1,271.3333333333333,bicep_curls,0.4547039312039312,2,1.2.3_kinect,dec_17_uncertainty,True
3,305.9999999999999,do_stair_steps,0.45583823529411793,2,1.2.3_kinect,dec_17_uncertainty,True
1,146.66666666666666,clean_a_surface,0.4695170454545455,3,1.2.3_kinect,dec_17_uncertainty,True
3,430.66666666666663,do_stair_steps,0.3238850619195048,3,1.2.3_kinect,dec_17_uncertainty,True
1,7.000000000000004,drink_sport_drink,0.8528571428571422,4,1.2.3_kinect,dec_17_uncertainty,True
3,374.3333333333332,do_stair_steps,0.3726264470169192,4,1.2.3_kinect,dec_17_uncertainty,True
4,195.33333333333334,bicep_curls,0.6316194539249146,4,1.2.3_kinect,dec_17_uncertainty,True
1,89.66666666666667,eat_a_granola_bar,0.5636152416356877,5,1.2.3_kinect,dec_17_uncertainty,True
3,298.33333333333326,do_stair_steps,0.4675525139664807,5,1.2.3_kinect,dec_17_uncertainty,True
4,72.33333333333334,clean_a_surface,0.9520161290322579,5,1.2.3_kinect,dec_17_uncertainty,True
5,116.00000000000006,bicep_curls,1.0,5,1.2.3_kinect,dec_17_uncertainty,True
1,94.66666666666666,clean_a_surface,0.7274207746478873,6,1.2.3_kinect,dec_17_uncertainty,True
3,481.6666666666666,do_stair_steps,0.289591349480969,6,1.2.3_kinect,dec_17_uncertainty,True
1,210.00000000000003,bicep_curls,0.5949833333333331,7,1.2.3_kinect,dec_17_uncertainty,True
3,366.99999999999994,do_stair_steps,0.3800722070844688,7,1.2.3_kinect,dec_17_uncertainty,True
1,10.333333333333357,drink_sport_drink,0.5777419354838695,8,1.2.3_kinect,dec_17_uncertainty,True
3,494.3333333333333,do_stair_steps,0.28217093728927856,8,1.2.3_kinect,dec_17_uncertainty,True
4,71.33333333333334,clean_a_surface,0.9653621495327102,8,1.2.3_kinect,dec_17_uncertainty,True
1,10.66666666666669,drink_sport_drink,0.5596874999999987,9,1.2.3_kinect,dec_17_uncertainty,True
3,469.33333333333326,do_stair_steps,0.2972013494318183,9,1.2.3_kinect,dec_17_uncertainty,True
4,94.66666666666666,clean_a_surface,0.7274207746478873,9,1.2.3_kinect,dec_17_uncertainty,True
1,22.333333333333332,bicep_curls,0.3538880597014904,10,1.2.3_kinect,dec_17_uncertainty,True
3,362.9999999999999,do_stair_steps,0.3842603305785126,10,1.2.3_kinect,dec_17_uncertainty,True
4,190.33333333333337,bicep_curls,0.613185639229422,10,1.2.3_kinect,dec_17_uncertainty,True
1,15.66666666666669,drink_sport_drink,0.3810638297872334,11,1.2.3_kinect,dec_17_uncertainty,True
3,370.6666666666665,do_stair_steps,0.37631250000000027,11,1.2.3_kinect,dec_17_uncertainty,True
4,142.66666666666663,clean_a_surface,0.48268107476635524,11,1.2.3_kinect,dec_17_uncertainty,True
5,46.0,bicep_curls,1.0,11,1.2.3_kinect,dec_17_uncertainty,True
2,623.3333333333334,shave_face,0.3443951871657754,11,2.4.1_kinect,dec_17_uncertainty,False
